Run Order,Run Date,Location,Name,Location ,Broad Location,Group,Year,Number,C13,O18,Li(7)/Ca,Na(23)/Ca,Mg(24)/Ca,Mn(55)/Ca,Fe(57)/Ca,Cu(63)/Ca,Cu(65)/Ca,Zn(66)/Ca,Zn(68)/Ca,Sr(88)/Ca,Ag(107)/Ca,Cd(111)/Ca,Ba(137)/Ca,Pb(208)/Ca
52,43343,Little Harbor,104,1,GOM,1,2016,175,-2.2,31.8,1.00458E-06,0.003193274,0.000129347,3.74329E-06,6.12074E-05,1.57709E-05,1.49784E-05,9.1848E-05,9.23188E-05,0.001689081,2.07591E-07,2.87712E-07,9.57179E-06,9.70961E-07
53,43343,Little Harbor,105,1,GOM,1,2016,176,-1.7,31.5,1.08452E-06,0.004213592,0.000146338,4.27816E-06,0.000114486,2.69153E-05,2.58375E-05,9.50608E-05,9.4977E-05,0.002176498,2.42852E-07,1.76425E-07,1.14744E-05,9.43218E-07
54,43343,Little Harbor,106,1,GOM,1,2016,177,-1.9,32.2,8.4519E-07,0.002008572,0.000111047,3.1323E-06,5.50325E-05,1.53824E-05,1.47264E-05,7.03158E-05,6.94506E-05,0.001056417,2.1211E-07,4.65384E-08,9.45594E-06,5.39334E-07
55,43343,Little Harbor,107,1,GOM,1,2016,178,-2.5,31.8,1.07139E-06,0.002891617,0.000215755,3.83783E-06,0.000111378,1.50623E-05,1.44776E-05,8.4459E-05,8.26637E-05,0.001640263,2.34458E-07,6.56289E-08,1.02403E-05,8.66755E-06
56,43343,Little Harbor,108,1,GOM,1,2016,179,-1.6,31.8,1.05016E-06,0.003829356,0.000128877,3.72765E-06,6.94258E-05,1.51775E-05,1.45396E-05,6.75795E-05,6.50228E-05,0.002024095,2.34984E-07,5.84313E-08,1.03949E-05,3.81179E-07
57,43343,Little Harbor,109,1,GOM,1,2016,180,-1.5,31.9,1.30343E-06,0.006269608,0.000142794,6.08149E-06,9.13832E-05,2.10108E-05,2.0156E-05,0.000129353,0.000126792,0.003344053,2.39148E-07,7.95979E-08,1.21427E-05,8.23869E-07
58,43343,Little Harbor,110,1,GOM,1,2016,181,-1.4,31.8,9.10403E-07,0.001828608,0.000151465,2.92009E-06,5.11737E-05,2.50626E-05,2.36917E-05,9.04644E-05,9.1093E-05,0.000844485,2.84569E-07,3.23795E-07,9.31595E-06,3.05488E-06
62,43343,Little Harbor,111,1,GOM,1,2016,182,-1.6,31.6,1.01138E-06,0.003001142,0.000133693,3.71054E-06,5.21371E-05,1.81122E-05,1.68974E-05,7.99916E-05,7.70467E-05,0.001554729,2.52068E-07,7.02494E-08,1.11537E-05,1.91025E-06
25,43187,Jamaica Bay,85,13,SNE,2,2016,183,-5.7,28.7,8.75404E-07,0.0070482,0.000114025,4.12062E-06,2.26161E-05,1.71887E-06,1.61199E-06,4.68832E-05,4.18327E-05,0.004860957,-4.68143E-08,-2.62939E-08,4.12727E-06,3.32618E-07
107,43187,Jamaica Bay,73,13,SNE,2,2016,184,-5.8,30.0,9.86923E-07,0.006475253,0.000133078,4.70243E-06,2.1413E-05,2.80569E-06,2.50935E-06,5.23437E-05,4.5502E-05,0.004833746,4.14221E-08,-2.72652E-08,4.67515E-06,4.66506E-07
59,43187,Jamaica Bay,74,13,SNE,2,2016,185,-5.0,28.6,8.86242E-07,0.00732004,0.000119318,6.17202E-06,2.84925E-05,1.85776E-06,1.61337E-06,3.42003E-05,3.06142E-05,0.004848816,-3.05601E-08,-1.63692E-08,4.96502E-06,3.38641E-07
